crohn_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
41,110,cyp2d6,cyp2d6,0.7238648631434006,-17.632256176736618,-0.03287474508397281,0.453527828057607,3,-13.466633896032969,-24.753362735112507,-14.676771899064383,0.8601837846182295,0.46649283930477364,0.7994783250155889,0.7238648631434006
42,5,il17a,il17a,0.8487065924740946,-15.429516947931713,0.05280118823672334,0.5714206695556641,3,-11.199399123589197,-24.82478467623393,-10.264367043972015,0.9080416167065608,0.6432446027946399,0.9750552165102611,0.8487065924740946
43,21,nfkb1,nfkb1,0.8079258246714978,-15.872593747244942,0.0159956490000089,0.5397480924924215,3,-12.349202235539755,-25.194615999857586,-10.073963006337484,0.8984151049586075,0.567313781686056,0.9278854939407933,0.8079258246714978
44,16,il4,il4,0.8181815296551773,-15.072208056847254,0.0036531975492835045,0.5642311175664266,3,-9.318954090277353,-25.273297627766926,-10.624372452497482,0.9158046912864172,0.5418509711259661,0.9643478726760687,0.8181815296551773
45,87,ace,ace,0.7345906907409548,-16.189758208062912,-0.069263756275177,0.49988341331481934,3,-12.576340675354004,-25.289307554562885,-10.70362639427185,0.8915242286752412,0.39142132679935776,0.868515337436837,0.7345906907409548
46,331,pik3r1,pik3r1,0.6623175767419949,-19.296831038263107,-0.05549986412127813,0.3794920841852824,3,-14.969774881998697,-25.29163424173991,-17.62908399105072,0.8240183851103572,0.4198166079056598,0.6892174677538467,0.6623175767419949
47,150,mmp9,mmp9,0.7051187294879351,-18.909666028287674,-0.05369764876862367,0.4652622441450755,3,-14.605390787124634,-25.376534918944042,-16.747072378794353,0.8324301289044395,0.42353462683377385,0.8169542995867571,0.7051187294879351
48,28,il18,il18,0.7986557518913184,-17.76515162156688,0.014834307134151459,0.5574212769667307,3,-13.336525047818819,-25.400609254837036,-14.558320562044779,0.857296430636051,0.5649179020632853,0.9542060300597082,0.7986557518913184
49,283,gucy2d,gucy2d,0.6722717444243744,-20.167143301831352,0.02449786562162141,0.3078841616710027,3,-17.134201804796856,-25.439396729071934,-17.927831371625263,0.8051095385117235,0.5848540841163518,0.5825723459492648,0.6722717444243744
50,103,notch2,notch2,0.7263830423923698,-21.288003587060505,0.061215414044757686,0.39993563294410706,3,-17.500702271858852,-25.82937224706014,-20.533936242262524,0.7807571582465028,0.6606033778009782,0.7196638858449176,0.7263830423923698
