inflammatory bowel_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
2135,1908,avpr1b,avpr1b,0.5481583825393819,-34.471451097064545,0.023115452689429123,0.3102461099624634,3,-24.703727165857952,-53.6444886525472,-25.066137472788494,0.4943268767912561,0.5820021289153319,0.5860899771609329,0.5481583825393819
2136,780,pgd,pgd,0.6115169775047702,-28.70740842819214,0.018149754653374355,0.346815824508667,3,-19.234156290690105,-41.82055679957072,-25.067512194315594,0.619559397549756,0.5717577598047497,0.6405529684781431,0.6115169775047702
2137,495,brunner syndrome,brunner syndrome,0.6395589826536401,-31.289889362123276,0.15653047213951746,0.2681215653816859,3,-23.30130736033122,-45.49910116195679,-25.06925956408183,0.5634511041615967,0.8572409159335007,0.523354220696504,0.6395589826536401
2138,3018,rom1,rom1,0.49993284726930415,-33.352809826533,0.024826148835321266,0.1781789759794871,3,-27.25742252667745,-47.7277626991272,-25.073244253794353,0.5186310456152807,0.5855313412490913,0.38940342216154816,0.49993284726930415
2139,3184,p2ry6,p2ry6,0.49229156664690454,-33.66208993064033,-0.03230432545145353,0.2462315782904625,3,-25.66728965441386,-50.245673497517906,-25.073306639989216,0.5119114688732527,0.4676696304066532,0.490753633252025,0.49229156664690454
2140,3387,pkp1,pkp1,0.4826493754080382,-27.731605741712784,-0.07982608551780383,0.17512380828460059,3,-25.76816924413045,-32.35078573226929,-25.075862248738606,0.6407601826949901,0.3696309564137001,0.38485338468644037,0.4826493754080382
2141,2459,lpar4,lpar4,0.5262312094597091,-30.29914887746175,-0.032861837496360145,0.25755396982034046,3,-25.119473934173584,-40.69768444697062,-25.080288251241047,0.5849764355026871,0.46651946800649313,0.507615982855621,0.5262312094597091
2142,4215,ppp2r1a,ppp2r1a,0.4287908181807367,-36.67528533935547,-0.10177022715409596,0.25894174724817276,3,-26.03607678413391,-58.90720065434774,-25.08257857958476,0.4464452538833566,0.3243595997776693,0.5096827889803108,0.4287908181807367
2143,4356,avpr2,avpr2,0.4142736424150648,-35.26661756303575,-0.0834710920850436,0.17370029042164484,3,-21.53293530146281,-59.179656982421875,-25.087260405222576,0.4770506859861518,0.3621112094588555,0.3827333506098248,0.4142736424150648
2144,1909,arl2bp,arl2bp,0.5481508481175487,-35.965279738108315,0.039521188785632454,0.3165602833032608,3,-29.51902977625529,-53.28665669759115,-25.090152740478516,0.46187119645609426,0.6158476053981987,0.5954936263855045,0.5481508481175487
2145,2233,dhps,dhps,0.5351610205047418,-28.783398230870564,-0.04296459505955378,0.26205208400885266,3,-19.15824270248413,-42.10163815816244,-25.09031383196513,0.6179084044728395,0.44567720640286373,0.514314989315823,0.5351610205047418
2146,3339,chrne,chrne,0.4850285598456858,-39.010830296410454,0.02062698422620694,0.26069293916225433,3,-29.352269490559895,-62.58760976791382,-25.09261163075765,0.3957020170408687,0.5768683512928922,0.512290825471569,0.4850285598456858
2147,2490,evc,evc,0.5250326853081577,-28.090906408098007,0.01987183342377345,0.13886945011715093,3,-24.263245423634846,-34.91600791613261,-25.09346588452657,0.6329538337925743,0.5753104548001712,0.3308600511702557,0.5250326853081577
2148,3213,pde6g,pde6g,0.49104070135482336,-30.43497045834859,-0.09304008881251018,0.26479380826155346,3,-19.929406881332397,-46.276971658070885,-25.098532835642498,0.5820255068012534,0.34237011086962177,0.5183982179114515,0.49104070135482336
2149,1420,crhr2,crhr2,0.5728935898337444,-31.564118676715427,0.008512121935685476,0.3292861481507619,3,-23.718415180842083,-45.87338876724243,-25.100552082061768,0.5574930586881115,0.5518750633146765,0.614446157880323,0.5728935898337444
2150,3019,etv6,etv6,0.49989277264465926,-34.48749930328793,-0.03453292387227217,0.28238702813784283,3,-24.49114187558492,-53.86832618713379,-25.10302984714508,0.49397820530590075,0.4630719716975736,0.5445996633767562,0.49989277264465926
2151,4523,anxa3,anxa3,0.3891863327079339,-34.66576173570421,-0.13262266417344412,0.17394917085766792,3,-24.009764671325684,-54.87819194793701,-25.109328587849934,0.4901051850923986,0.2607101892633105,0.3831040063066043,0.3891863327079339
2152,3943,habp4,habp4,0.4500086974535953,-34.73015700446235,-0.02065376689036687,0.15623055522640547,3,-24.03998827934265,-55.04108683268229,-25.109395901362102,0.48870610075267756,0.4917050472559329,0.35671580991914814,0.4500086974535953
2153,1267,cd81,cd81,0.5818366490475,-35.717442094865774,0.05419205750028292,0.3668123930692673,3,-24.52641495068868,-57.5164852142334,-25.109426119675238,0.4672558430635388,0.6461140036355716,0.6703337024380431,0.5818366490475
2154,1277,crispld2,crispld2,0.5814431344204847,-36.00374295976427,0.06645228962103526,0.3545171916484833,3,-24.541319131851196,-58.35759989420573,-25.11230985323588,0.4610355249523977,0.6714071934981978,0.652022554633554,0.5814431344204847
2155,1214,cerk,cerk,0.5840762264530471,-29.73183478249444,-0.0022171614691615105,0.3335374395052592,3,-20.846428394317627,-43.23418124516805,-25.11489470799764,0.5973021898830726,0.5297402619849879,0.6207775730144056,0.5840762264530471
2156,3472,myo1e,myo1e,0.47854089600380734,-30.466531223720974,-0.06976368992278974,0.20518724992871284,3,-20.930140097935993,-45.35059944788615,-25.11885412534078,0.5813398015711385,0.3903899501872966,0.42962663439721005,0.47854089600380734
2157,926,kars,kars,0.6019299489190274,-30.311659389071995,0.05254960432648659,0.30891087154547375,3,-22.810130039850872,-43.003350575764976,-25.12149755160014,0.5847046257686282,0.6427255783956459,0.5841014169762744,0.6019299489190274
2158,2529,ccno,ccno,0.5231800406896229,-32.839731295903526,0.029302389671405155,0.21403012176354727,3,-22.119882742563885,-51.26995356877645,-25.12935757637024,0.5297784505581323,0.5947659469419372,0.4427962546126292,0.5231800406896229
2159,701,pcnt,pcnt,0.6194336469955535,-33.92802227867974,0.09703078866004944,0.3568135102589925,3,-24.520880460739136,-52.13352902730306,-25.12965734799703,0.5061336875122557,0.7344914625634446,0.6554424440720592,0.6194336469955535
2160,565,nf2,nf2,0.6317714140905866,-29.889477438396877,0.028495611312488716,0.4008105893929799,3,-24.944106499354046,-39.5925452709198,-25.13178054491679,0.5938771654146834,0.5931015414063691,0.7209669516760083,0.6317714140905866
2161,1761,ebp,ebp,0.5554450562001245,-31.031257337994045,-0.00739533764620622,0.3019036451975505,3,-25.88021485010783,-42.08159319559733,-25.131963968276978,0.569070274974729,0.5190575447331319,0.5736656093009779,0.5554450562001245
2162,2688,cdon,cdon,0.5158639081104095,-36.21655140982734,-0.002937962611516317,0.3079993377129237,3,-26.3694030046463,-57.14436992009481,-25.135881304740906,0.45641194040052946,0.5282532297683696,0.5827438767322893,0.5158639081104095
2163,1662,rgs19,rgs19,0.5603218741242127,-32.03092824088203,0.0017521033878438175,0.3195924411217372,3,-22.389717022577923,-48.56464513142904,-25.13842256863912,0.547350916828118,0.5379289625458322,0.6000093954307194,0.5603218741242127
2164,2296,slc1a2,slc1a2,0.5325983182701616,-36.01496987872653,0.017443085089325905,0.31330062448978424,3,-24.099374651908875,-58.8055165608724,-25.140018423398335,0.46079160320463053,0.5702998814156968,0.5906390418786678,0.5325983182701616
2165,2986,mbd5,mbd5,0.5017365314044989,-34.35524211989509,-0.004533424274995923,0.2423846498131752,3,-22.650830030441284,-55.273739178975426,-25.141157150268555,0.4968516920956759,0.524961749282888,0.48502443260454065,0.5017365314044989
2166,1079,ltb4r,ltb4r,0.5914349243085731,-32.448082500033905,0.07404005248099566,0.29720770319302875,3,-22.861162185668945,-49.339375019073486,-25.143710295359295,0.5382876113635604,0.6870609531300983,0.5666719794137317,0.5914349243085731
2167,320,scott syndrome,scott syndrome,0.6643368908529941,-31.76870314280192,0.1645466759800911,0.32178865869839984,3,-24.62477461496989,-45.53731886545817,-25.144015947977703,0.5530481525921864,0.873778560875308,0.6032802051784236,0.6643368908529941
2168,3614,cyb5a,cyb5a,0.4707069633676355,-29.732855134540134,-0.10207473983367284,0.218140942354997,3,-25.03833254178365,-39.01471730073293,-25.14551556110382,0.5972800211959056,0.32373138189857403,0.448918467732337,0.4707069633676355
2169,2030,tuba1a,tuba1a,0.5433335269361768,-32.29299439324273,-0.0007199992736180624,0.2900911122560501,3,-20.378821055094402,-51.35397609074911,-25.146186033884685,0.5416571343995378,0.5328289480142622,0.5560732959069434,0.5433335269361768
2170,949,cdkl1,cdkl1,0.6004132177256951,-34.821126990848114,0.08734438568353653,0.3450320363044739,3,-26.96744974454244,-52.34716510772705,-25.14876612027486,0.4867296405904414,0.7145081517127349,0.6378963865856603,0.6004132177256951
2171,2177,ndufb1,ndufb1,0.5371367875682075,-32.51393328772651,0.006681382035215695,0.2702664335568746,3,-24.8046133518219,-47.58566443125407,-25.151522080103557,0.5368569036796613,0.5480981974743235,0.5265485561801532,0.5371367875682075
2172,1558,fhl1,fhl1,0.5658324292317682,-36.10186714596219,0.06964962805310886,0.31705687940120697,3,-26.336246331532795,-56.81554460525513,-25.153810501098633,0.4589036290087221,0.6780033890042049,0.5962332030900597,0.5658324292317682
2173,2662,slc12a2,slc12a2,0.516868083209332,-34.74925944540236,-0.04402162258823713,0.33861686289310455,3,-24.727375268936157,-54.36567767461141,-25.154725392659504,0.48829107141146944,0.4434965300739257,0.6283423187418883,0.516868083209332
2174,461,slc1a1,slc1a1,0.6438995180831211,-30.957827859454685,0.08127914120753606,0.37561866641044617,3,-22.41242464383443,-45.30593474706014,-25.155124187469482,0.5706656411480445,0.7019953886113695,0.6834488168016415,0.6438995180831211
2175,4410,hoxd10,hoxd10,0.4099222762249336,-35.954829017321266,-0.1445847898721695,0.2620048075914383,3,-24.82446273167928,-57.881693840026855,-25.15833048025767,0.46209825412778244,0.2360320009975001,0.5142445809152353,0.4099222762249336
2176,1958,serpina3,serpina3,0.5459454463332621,-32.05629936191771,-0.058408922205368675,0.371246079603831,3,-22.637309928735096,-48.37097613016764,-25.160612026850384,0.5467996909569207,0.41381514254043517,0.6769367572945444,0.5459454463332621
2177,3688,mef2a,mef2a,0.46646036942190966,-34.048140582111145,-0.05949226766824722,0.23358721286058426,3,-25.870815356572468,-51.10896364847819,-25.16464274128278,0.5035239361984453,0.4115801716027299,0.4719224782057086,0.46646036942190966
2178,4030,mpdu1,mpdu1,0.44358918764118416,-36.23374597231547,-0.04149326030164957,0.1999768763780594,3,-27.258477687835693,-56.27495034535726,-25.16780988375346,0.456038362596299,0.44871260973100796,0.4218668656112073,0.44358918764118416
2179,3004,sult1a3,sult1a3,0.5008932904668888,-33.55596853295962,-0.034813600281874336,0.26689570148785907,3,-20.993197510639828,-54.506568829218544,-25.16813925902049,0.5142171162984079,0.4624929286869595,0.521528551138126,0.5008932904668888
2180,4487,arf1,arf1,0.3946359683206441,-37.63776001003053,-0.11120925098657608,0.2142930751045545,3,-23.995633125305176,-63.748315493265785,-25.16933141152064,0.4255340399838202,0.30488663877975597,0.4431878689772974,0.3946359683206441
2181,904,cchcr1,cchcr1,0.6031910343522998,-33.65324778027005,0.10736450149367253,0.3007999062538147,3,-24.488903363545734,-51.300883293151855,-25.16995668411255,0.5121035779264655,0.7558101911252206,0.5720218194804914,0.6031910343522998
2182,4050,ptpre,ptpre,0.44222259529810387,-34.63633521397909,-0.08650361622373264,0.22819658617178598,3,-23.55598521232605,-55.18107080459595,-25.17194962501526,0.4907445206602445,0.3558550302897002,0.4638942598236534,0.44222259529810387
2183,3972,mllt4,mllt4,0.44792555946043305,-34.625973251130844,-0.08638079712788264,0.24058927098910013,3,-29.874929030736286,-48.8287247021993,-25.17426602045695,0.4909696499318405,0.35610840940026633,0.4823505888920565,0.44792555946043305
2184,594,ttc37,ttc37,0.628497679811177,-34.294987493091156,0.15704863021771112,0.30109946926434833,3,-26.163494030634563,-51.54203176498413,-25.179436683654785,0.49816081474370366,0.8583098900378672,0.5724679563411178,0.628497679811177
2185,1367,fgf18,fgf18,0.576180721064548,-33.405354261398315,0.0436155212422212,0.3238312105337779,3,-26.60736107826233,-48.42845853169759,-25.180243174235027,0.5174894385162303,0.6242943237935156,0.6063221617333373,0.576180721064548
2186,766,serpinf1,serpinf1,0.6125692093507152,-32.65138543976678,0.03489411218712727,0.4026914785305659,3,-23.709957122802734,-49.0628437201182,-25.181355476379395,0.5338705483605654,0.606301821455266,0.7237681452330309,0.6125692093507152
2187,1325,dpyd,dpyd,0.5784871906526403,-34.04993741379844,0.014417952547470728,0.3819771707057953,3,-25.55992517868678,-51.403809229532875,-25.18607783317566,0.5034848973199175,0.5640589513103655,0.6929184877718786,0.5784871906526403
