inflammatory bowel_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
25,6,bcl2,bcl2,0.8455998423569089,-14.778119636906517,0.0410432710001866,0.5680841505527496,3,-10.562175234158834,-22.205535411834717,-11.566648264726004,0.9221942057766469,0.6189877020994742,0.9700861647213594,0.8455998423569089
26,42,tnfrsf1a,tnfrsf1a,0.7764809540885775,-23.029116610685985,0.09841793775558472,0.4943972627321879,3,-17.06976346174876,-40.30942312876383,-11.708163241545359,0.7429288517262239,0.7373531885973063,0.8603448560629873,0.7764809540885775
27,155,ahr,ahr,0.7044061102438677,-19.7190587454372,-0.0438328313951691,0.46574586629867554,3,-13.014273027578989,-34.4327126344045,-11.710190574328104,0.8148448513353482,0.44388601140214445,0.8176745542969504,0.7044061102438677
28,82,csf3,csf3,0.738412360739324,-17.04578936100006,-0.07575999293476343,0.5340868433316549,3,-11.780771176020304,-27.619208256403606,-11.737388650576273,0.8729256607449493,0.3780194151874763,0.9194542396170048,0.738412360739324
29,44,cd36,cd36,0.7741792010965945,-17.97609673606025,0.02851950873931249,0.4877837399641673,3,-14.054873943328857,-27.95403027534485,-11.91938598950704,0.852713329859862,0.5931508424430809,0.8504953880657514,0.7741792010965945
30,261,rfk,rfk,0.6749320632989247,-27.612997081544663,0.10650087396303813,0.34507622321446735,3,-22.992021083831787,-47.68152141571045,-12.165448745091757,0.6433371347319444,0.7540285042136039,0.6379621938068862,0.6749320632989247
31,51,stat3,stat3,0.7685127231836724,-15.04737054473824,-0.06896371049030374,0.5531711280345917,3,-10.726841097076734,-22.248425881067913,-12.166844656070074,0.9163443236988522,0.3920403293540838,0.9478763163263543,0.7685127231836724
32,198,pik3ca,pik3ca,0.6907139883828336,-18.53036429008676,-0.09209258481860161,0.47882984081904095,3,-13.502919639771184,-29.835082213083904,-12.253091017405191,0.8406710312592227,0.3443248371894409,0.8371604157410408,0.6907139883828336
33,40,akt1,akt1,0.7787710572532283,-16.030849523014492,-0.026899935056765873,0.5369928578535715,3,-11.684354623158773,-24.069880723953247,-12.338313221931458,0.8949767595363505,0.47881903369676,0.9237821444322001,0.7787710572532283
34,935,il6st,il6st,0.6012955674425007,-29.88275741206275,0.011211213345328966,0.3564118842283885,3,-18.005018949508667,-59.246840953826904,-12.396412332852682,0.5940231681224585,0.5574433617619092,0.6548443055498152,0.6012955674425007
35,76,ngf,ngf,0.7405468910574444,-19.456433018048603,-0.026286177337169647,0.5172214110692342,3,-14.123576402664185,-31.80935049057007,-12.43637216091156,0.8205507913754039,0.48008523244230605,0.8943366825819699,0.7405468910574444
36,414,erbb2,erbb2,0.6492621759098671,-19.180183569590252,-0.12639250854651132,0.44620586435000104,3,-13.771774252255758,-31.301073869069416,-12.467702587445578,0.8265527273040554,0.27356316852126367,0.7885737814395531,0.6492621759098671
37,282,htr2a,htr2a,0.6722756142462111,-23.49731248286035,0.025108444970101118,0.37182316184043884,3,-15.685481349627176,-42.33537817001343,-12.471077928940455,0.732756590233824,0.5861137257964758,0.6777962013791292,0.6722756142462111
38,101,nos2,nos2,0.7278635900126496,-21.874842796060776,0.02911597117781639,0.4591296116511027,3,-14.91690343618393,-38.22631009419759,-12.481314857800802,0.7680071913144564,0.5943813605568015,0.8078210177327549,0.7278635900126496
39,36,csf2,csf2,0.78453081776402,-18.103851503796047,0.0004862273732821147,0.5522705415884653,3,-13.009992082913717,-28.815817674001057,-12.485744754473368,0.8499376648411296,0.5353174261521079,0.9465350799397861,0.78453081776402
40,22,bdnf,bdnf,0.8075467619283372,-14.384839317864841,0.004898618906736374,0.5253329575061798,3,-11.352756624420484,-19.177962064743042,-12.623799264431,0.930738813883778,0.5444203090098473,0.9064171455729061,0.8075467619283372
41,31,kit,kit,0.7915243709522006,-17.83356022834778,0.016932491057862837,0.5398839712142944,3,-12.561779975891113,-28.22430658340454,-12.71459412574768,0.8558101504745571,0.5692465121439471,0.9280878570639786,0.7915243709522006
42,91,icam1,icam1,0.7317651455717233,-18.27959179215961,-0.04788611177355051,0.504596104224523,3,-13.131808737913767,-28.984315872192383,-12.72265076637268,0.8461194420112662,0.4355239845524793,0.8755339113382439,0.7317651455717233
43,63,mme,mme,0.7556473896777363,-19.09906327062183,0.019217899690071743,0.48103397091229755,3,-15.567015488942465,-28.952926913897198,-12.777247409025827,0.8283151881510854,0.5739613718528673,0.8404430095381393,0.7556473896777363
44,3,iqcb1,iqcb1,0.859772910809443,-19.2676116294331,0.1930821935335795,0.47652240594228107,3,-14.528933803240458,-30.452770392100017,-12.821130692958832,0.824653220838173,0.9326481039802063,0.8337239709337063,0.859772910809443
45,58,il13,il13,0.7606771428743634,-19.455729368660187,0.00724064651876688,0.5158205529054006,3,-12.979008177916208,-32.54677573839823,-12.841404189666113,0.8205660792196661,0.5492519752027192,0.8922503954189372,0.7606771428743634
46,139,hmgb1,hmgb1,0.7095493366079342,-16.35427047146691,-0.085233340660731,0.46915754675865173,3,-14.141473154226938,-22.060168743133545,-12.861169517040253,0.8879499516226045,0.35847564307063373,0.8227555434590074,0.7095493366079342
47,66,il1a,il1a,0.7520217961301865,-17.624679782324367,-0.04566346853971481,0.5341167449951172,3,-13.220296149452528,-26.76832977930705,-12.885413418213526,0.8603483932141426,0.44010935755003705,0.9194987719317281,0.7520217961301865
48,120,ctnnb1,ctnnb1,0.7173041278145946,-18.160806973775227,-0.07228386029601097,0.5037156740824381,3,-12.751252591609955,-28.82096854845683,-12.910199781258902,0.8487002213511643,0.38519077066865154,0.8742226935784445,0.7173041278145946
49,167,pten,pten,0.700504017680969,-17.246009522014194,-0.0928320363163948,0.4767838219801585,3,-12.056158741315206,-26.711852709452312,-12.970017115275065,0.8685755757593053,0.3427993287860373,0.8341132958047855,0.700504017680969
50,17,egfr,egfr,0.812455960066719,-15.700197360581821,-0.0036258970697720847,0.5737146536509196,3,-10.953045969208082,-23.15773304303487,-12.989813069502512,0.9021606764804964,0.526834002408371,0.9784716291733643,0.812455960066719
